params,20newsGroup,Classic3,CSTR,Irish_Economic_Sentiment,Multi_Domain_Sentiment,NSF,Opinosis-Parsed,re8,Review_Polarity,Reviews,SyskillWelbert-Parsed,rank
{'mnb__alpha': 1e-05},0.8981792469506805,0.9503875968992248,0.7926421404682275,0.6807228915662651,0.7545,0.7952299505891296,0.4108719219451758,0.915168100078186,0.7555,0.907839764069796,0.811377245508982,2.91
{'mnb__alpha': 1e-06},0.8932296270107831,0.9484143763213532,0.7826086956521741,0.6765060240963855,0.748875,0.7913340935005702,0.40250890506427134,0.9076101120667188,0.7435,0.899729663307938,0.7994011976047904,1.86
{'mnb__alpha': 0.001},0.9068410818455012,0.9544749823819592,0.8193979933110368,0.6765060240963855,0.77525,0.8102432535157734,0.4440142481028341,0.9283294240291896,0.7745,0.9294666994347506,0.8293413173652695,3.77
{'mnb__alpha': 0.01},0.9131164928407284,0.9584214235377028,0.842809364548495,0.6813253012048193,0.788625,0.8261117445838084,0.4830416602137215,0.9366692728694292,0.7965,0.9378225608257558,0.8532934131736527,5.0
{'mnb__alpha': 0.1},0.9057804490012374,0.9599718111346018,0.8461538461538461,0.6753012048192771,0.8095,0.8381793994678829,0.5010066594393682,0.9382329945269742,0.809,0.9412632096338168,0.8712574850299402,5.27
{'mnb__alpha': 1.0},0.8579635849390136,0.9547568710359408,0.6989966555183946,0.5367469879518072,0.82675,0.7462941847206386,0.33235248567446185,0.8635652853792025,0.8135,0.8640943720815926,0.7425149700598802,2.18
