params,20newsGroup,Classic3,CSTR,Irish_Economic_Sentiment,Multi_Domain_Sentiment,NSF,Opinosis-Parsed,re8,Review_Polarity,Reviews,SyskillWelbert-Parsed,rank
{'dtc__criterion': 'gini'; 'dtc__splitter': 'best'},0.6442460668198692,0.8505990133897111,0.6588628762541806,0.5072289156626506,0.685625,0.6058532877232992,0.5671364410717051,0.9166015115976024,0.6265,0.8911280412877857,0.9520958083832336,2.91
{'dtc__criterion': 'gini'; 'dtc__splitter': 'random'},0.6483118260562135,0.8441155743481324,0.6822742474916388,0.5102409638554217,0.698125,0.6247624477385024,0.5668266997057457,0.908001042481105,0.6175,0.8876873924797247,0.9221556886227544,2.81
{'dtc__criterion': 'entropy'; 'dtc__splitter': 'best'},0.4992045253668022,0.842847075405215,0.6622073578595318,0.5060240963855421,0.691375,0.4580007601672368,0.5435960972587889,0.9098253844149076,0.6445,0.8982550995330548,0.9311377245508982,2.27
{'dtc__criterion': 'entropy'; 'dtc__splitter': 'random'},0.483295032702846,0.8414376321353065,0.6755852842809364,0.4879518072289157,0.702375,0.5085518814139109,0.5502555366269165,0.9018764659890541,0.6475,0.8820348980093389,0.9251497005988024,2.0
