,mean_fit_time,mean_score_time,mean_test_accuracy,mean_test_f1_macro,mean_test_f1_micro,mean_train_accuracy,mean_train_f1_macro,mean_train_f1_micro,param_svc__C,param_svc__kernel,params,rank_test_accuracy,rank_test_f1_macro,rank_test_f1_micro,split0_test_accuracy,split0_test_f1_macro,split0_test_f1_micro,split0_train_accuracy,split0_train_f1_macro,split0_train_f1_micro,split1_test_accuracy,split1_test_f1_macro,split1_test_f1_micro,split1_train_accuracy,split1_train_f1_macro,split1_train_f1_micro,split2_test_accuracy,split2_test_f1_macro,split2_test_f1_micro,split2_train_accuracy,split2_train_f1_macro,split2_train_f1_micro,split3_test_accuracy,split3_test_f1_macro,split3_test_f1_micro,split3_train_accuracy,split3_train_f1_macro,split3_train_f1_micro,split4_test_accuracy,split4_test_f1_macro,split4_test_f1_micro,split4_train_accuracy,split4_train_f1_macro,split4_train_f1_micro,split5_test_accuracy,split5_test_f1_macro,split5_test_f1_micro,split5_train_accuracy,split5_train_f1_macro,split5_train_f1_micro,split6_test_accuracy,split6_test_f1_macro,split6_test_f1_micro,split6_train_accuracy,split6_train_f1_macro,split6_train_f1_micro,split7_test_accuracy,split7_test_f1_macro,split7_test_f1_micro,split7_train_accuracy,split7_train_f1_macro,split7_train_f1_micro,split8_test_accuracy,split8_test_f1_macro,split8_test_f1_micro,split8_train_accuracy,split8_train_f1_macro,split8_train_f1_micro,split9_test_accuracy,split9_test_f1_macro,split9_test_f1_micro,split9_train_accuracy,split9_train_f1_macro,split9_train_f1_micro,std_fit_time,std_score_time,std_test_accuracy,std_test_f1_macro,std_test_f1_micro,std_train_accuracy,std_train_f1_macro,std_train_f1_micro
0,8.96579065322876,2.4529956340789796,0.8605,0.860396830917712,0.8605,1.0,1.0,1.0,100,linear,"{'svc__C': 100, 'svc__kernel': 'linear'}",1,1,1,0.845,0.8449961249031226,0.845,1.0,1.0,1.0,0.89,0.8899559823929571,0.89,1.0,1.0,1.0,0.9,0.8999899989999,0.9,1.0,1.0,1.0,0.875,0.8749718686704508,0.875,1.0,1.0,1.0,0.835,0.8347976270931892,0.835,1.0,1.0,1.0,0.87,0.8698828946051447,0.87,1.0,1.0,1.0,0.87,0.8698828946051447,0.87,1.0,1.0,1.0,0.835,0.8346651970239736,0.835,1.0,1.0,1.0,0.81,0.8098288459613652,0.81,1.0,1.0,1.0,0.875,0.8749968749218731,0.875,1.0,1.0,1.0,0.207641405035774,0.062149014799841605,0.02668801229016504,0.026755682165263733,0.02668801229016504,0.0,0.0,0.0
1,9.4927419424057,3.0785090208053587,0.7395,0.7344893022366643,0.7395,0.873,0.8719348744679898,0.873,100,poly,"{'svc__C': 100, 'svc__kernel': 'poly'}",13,13,13,0.735,0.7300807211428281,0.735,0.8605555555555555,0.8590341247869366,0.8605555555555555,0.735,0.723374827109267,0.735,0.8461111111111111,0.843668430335097,0.846111111111111,0.74,0.7348021215830274,0.74,0.8566666666666667,0.8552511660322737,0.8566666666666667,0.77,0.7660461804495982,0.7699999999999999,0.9005555555555556,0.9003537719437417,0.9005555555555554,0.695,0.6909123153707786,0.695,0.8683333333333333,0.8673497150941784,0.8683333333333333,0.745,0.7409523809523808,0.745,0.8711111111111111,0.8701103191379506,0.8711111111111111,0.8,0.7992773986350863,0.8000000000000002,0.8883333333333333,0.8880718567542509,0.8883333333333333,0.715,0.7059961315280464,0.715,0.8444444444444444,0.8421288053535876,0.8444444444444444,0.72,0.7135549872122762,0.72,0.8988888888888888,0.8985631639375328,0.8988888888888888,0.74,0.7398959583833533,0.74,0.895,0.8948173913043478,0.895,0.2207794957411262,0.10144194153868208,0.02760887538455707,0.02925143145573136,0.027608875384557082,0.020332422566123477,0.021112160206837333,0.020332422566123477
2,9.681510925292969,2.841952109336853,0.757,0.7543967354424336,0.757,0.8422222222222222,0.8414650651664161,0.8422222222222222,100,rbf,"{'svc__C': 100, 'svc__kernel': 'rbf'}",7,7,7,0.74,0.7378768020969855,0.74,0.8522222222222222,0.8520466874897256,0.8522222222222222,0.775,0.774859287054409,0.775,0.8561111111111112,0.8561107114186428,0.8561111111111112,0.735,0.7314484051582174,0.735,0.8388888888888889,0.8384483115063177,0.8388888888888889,0.755,0.7517164500519369,0.755,0.8172222222222222,0.8150516478111165,0.8172222222222222,0.72,0.7144022847817217,0.72,0.8466666666666667,0.8461126722868995,0.8466666666666667,0.775,0.7733625443831684,0.775,0.8405555555555555,0.8396802791536881,0.8405555555555555,0.755,0.7532169927727833,0.755,0.835,0.8337673644851096,0.835,0.815,0.8146246148450612,0.815,0.85,0.8498546741537487,0.85,0.725,0.7229986653572058,0.7250000000000001,0.8477777777777777,0.8470282160363559,0.8477777777777777,0.775,0.7694613079228464,0.775,0.8377777777777777,0.8365500873225561,0.8377777777777777,0.2138802610953517,0.038960317806008636,0.027404379212089443,0.028330657246957575,0.02740437921208943,0.010558479127292995,0.011147944235480127,0.010558479127292995
3,9.038214254379273,2.4636487483978273,0.8605,0.860396830917712,0.8605,1.0,1.0,1.0,101,linear,"{'svc__C': 101, 'svc__kernel': 'linear'}",1,1,1,0.845,0.8449961249031226,0.845,1.0,1.0,1.0,0.89,0.8899559823929571,0.89,1.0,1.0,1.0,0.9,0.8999899989999,0.9,1.0,1.0,1.0,0.875,0.8749718686704508,0.875,1.0,1.0,1.0,0.835,0.8347976270931892,0.835,1.0,1.0,1.0,0.87,0.8698828946051447,0.87,1.0,1.0,1.0,0.87,0.8698828946051447,0.87,1.0,1.0,1.0,0.835,0.8346651970239736,0.835,1.0,1.0,1.0,0.81,0.8098288459613652,0.81,1.0,1.0,1.0,0.875,0.8749968749218731,0.875,1.0,1.0,1.0,0.17492515479872756,0.07894720836856083,0.02668801229016504,0.026755682165263733,0.02668801229016504,0.0,0.0,0.0
4,9.44049973487854,3.062386322021484,0.7395,0.7344893022366643,0.7395,0.873,0.8719348744679898,0.873,101,poly,"{'svc__C': 101, 'svc__kernel': 'poly'}",13,13,13,0.735,0.7300807211428281,0.735,0.8605555555555555,0.8590341247869366,0.8605555555555555,0.735,0.723374827109267,0.735,0.8461111111111111,0.843668430335097,0.846111111111111,0.74,0.7348021215830274,0.74,0.8566666666666667,0.8552511660322737,0.8566666666666667,0.77,0.7660461804495982,0.7699999999999999,0.9005555555555556,0.9003537719437417,0.9005555555555554,0.695,0.6909123153707786,0.695,0.8683333333333333,0.8673497150941784,0.8683333333333333,0.745,0.7409523809523808,0.745,0.8711111111111111,0.8701103191379506,0.8711111111111111,0.8,0.7992773986350863,0.8000000000000002,0.8883333333333333,0.8880718567542509,0.8883333333333333,0.715,0.7059961315280464,0.715,0.8444444444444444,0.8421288053535876,0.8444444444444444,0.72,0.7135549872122762,0.72,0.8988888888888888,0.8985631639375328,0.8988888888888888,0.74,0.7398959583833533,0.74,0.895,0.8948173913043478,0.895,0.20218881965679744,0.044652169129620306,0.02760887538455707,0.02925143145573136,0.027608875384557082,0.020332422566123477,0.021112160206837333,0.020332422566123477
5,9.726066398620606,2.857548689842224,0.757,0.7543967354424336,0.757,0.8422222222222222,0.8414650651664161,0.8422222222222222,101,rbf,"{'svc__C': 101, 'svc__kernel': 'rbf'}",7,7,7,0.74,0.7378768020969855,0.74,0.8522222222222222,0.8520466874897256,0.8522222222222222,0.775,0.774859287054409,0.775,0.8561111111111112,0.8561107114186428,0.8561111111111112,0.735,0.7314484051582174,0.735,0.8388888888888889,0.8384483115063177,0.8388888888888889,0.755,0.7517164500519369,0.755,0.8172222222222222,0.8150516478111165,0.8172222222222222,0.72,0.7144022847817217,0.72,0.8466666666666667,0.8461126722868995,0.8466666666666667,0.775,0.7733625443831684,0.775,0.8405555555555555,0.8396802791536881,0.8405555555555555,0.755,0.7532169927727833,0.755,0.835,0.8337673644851096,0.835,0.815,0.8146246148450612,0.815,0.85,0.8498546741537487,0.85,0.725,0.7229986653572058,0.7250000000000001,0.8477777777777777,0.8470282160363559,0.8477777777777777,0.775,0.7694613079228464,0.775,0.8377777777777777,0.8365500873225561,0.8377777777777777,0.2268860647396347,0.09458035601990397,0.027404379212089443,0.028330657246957575,0.02740437921208943,0.010558479127292995,0.011147944235480127,0.010558479127292995
6,8.998516631126403,2.451013517379761,0.8605,0.860396830917712,0.8605,1.0,1.0,1.0,102,linear,"{'svc__C': 102, 'svc__kernel': 'linear'}",1,1,1,0.845,0.8449961249031226,0.845,1.0,1.0,1.0,0.89,0.8899559823929571,0.89,1.0,1.0,1.0,0.9,0.8999899989999,0.9,1.0,1.0,1.0,0.875,0.8749718686704508,0.875,1.0,1.0,1.0,0.835,0.8347976270931892,0.835,1.0,1.0,1.0,0.87,0.8698828946051447,0.87,1.0,1.0,1.0,0.87,0.8698828946051447,0.87,1.0,1.0,1.0,0.835,0.8346651970239736,0.835,1.0,1.0,1.0,0.81,0.8098288459613652,0.81,1.0,1.0,1.0,0.875,0.8749968749218731,0.875,1.0,1.0,1.0,0.22435724494424492,0.0413694091791629,0.02668801229016504,0.026755682165263733,0.02668801229016504,0.0,0.0,0.0
7,9.443800806999207,3.060891366004944,0.7395,0.7344893022366643,0.7395,0.873,0.8719348744679898,0.873,102,poly,"{'svc__C': 102, 'svc__kernel': 'poly'}",13,13,13,0.735,0.7300807211428281,0.735,0.8605555555555555,0.8590341247869366,0.8605555555555555,0.735,0.723374827109267,0.735,0.8461111111111111,0.843668430335097,0.846111111111111,0.74,0.7348021215830274,0.74,0.8566666666666667,0.8552511660322737,0.8566666666666667,0.77,0.7660461804495982,0.7699999999999999,0.9005555555555556,0.9003537719437417,0.9005555555555554,0.695,0.6909123153707786,0.695,0.8683333333333333,0.8673497150941784,0.8683333333333333,0.745,0.7409523809523808,0.745,0.8711111111111111,0.8701103191379506,0.8711111111111111,0.8,0.7992773986350863,0.8000000000000002,0.8883333333333333,0.8880718567542509,0.8883333333333333,0.715,0.7059961315280464,0.715,0.8444444444444444,0.8421288053535876,0.8444444444444444,0.72,0.7135549872122762,0.72,0.8988888888888888,0.8985631639375328,0.8988888888888888,0.74,0.7398959583833533,0.74,0.895,0.8948173913043478,0.895,0.224324897060354,0.04507595938431301,0.02760887538455707,0.02925143145573136,0.027608875384557082,0.020332422566123477,0.021112160206837333,0.020332422566123477
8,9.725812888145446,2.8548812866210938,0.757,0.7543967354424336,0.757,0.8422222222222222,0.8414650651664161,0.8422222222222222,102,rbf,"{'svc__C': 102, 'svc__kernel': 'rbf'}",7,7,7,0.74,0.7378768020969855,0.74,0.8522222222222222,0.8520466874897256,0.8522222222222222,0.775,0.774859287054409,0.775,0.8561111111111112,0.8561107114186428,0.8561111111111112,0.735,0.7314484051582174,0.735,0.8388888888888889,0.8384483115063177,0.8388888888888889,0.755,0.7517164500519369,0.755,0.8172222222222222,0.8150516478111165,0.8172222222222222,0.72,0.7144022847817217,0.72,0.8466666666666667,0.8461126722868995,0.8466666666666667,0.775,0.7733625443831684,0.775,0.8405555555555555,0.8396802791536881,0.8405555555555555,0.755,0.7532169927727833,0.755,0.835,0.8337673644851096,0.835,0.815,0.8146246148450612,0.815,0.85,0.8498546741537487,0.85,0.725,0.7229986653572058,0.7250000000000001,0.8477777777777777,0.8470282160363559,0.8477777777777777,0.775,0.7694613079228464,0.775,0.8377777777777777,0.8365500873225561,0.8377777777777777,0.22394160702239693,0.09516126132567025,0.027404379212089443,0.028330657246957575,0.02740437921208943,0.010558479127292995,0.011147944235480127,0.010558479127292995
9,8.995920038223266,2.454526686668396,0.8605,0.860396830917712,0.8605,1.0,1.0,1.0,103,linear,"{'svc__C': 103, 'svc__kernel': 'linear'}",1,1,1,0.845,0.8449961249031226,0.845,1.0,1.0,1.0,0.89,0.8899559823929571,0.89,1.0,1.0,1.0,0.9,0.8999899989999,0.9,1.0,1.0,1.0,0.875,0.8749718686704508,0.875,1.0,1.0,1.0,0.835,0.8347976270931892,0.835,1.0,1.0,1.0,0.87,0.8698828946051447,0.87,1.0,1.0,1.0,0.87,0.8698828946051447,0.87,1.0,1.0,1.0,0.835,0.8346651970239736,0.835,1.0,1.0,1.0,0.81,0.8098288459613652,0.81,1.0,1.0,1.0,0.875,0.8749968749218731,0.875,1.0,1.0,1.0,0.17596466159496343,0.051902565149214756,0.02668801229016504,0.026755682165263733,0.02668801229016504,0.0,0.0,0.0
