;mean_fit_time;mean_score_time;mean_test_accuracy;mean_test_f1_macro;mean_test_f1_micro;mean_train_accuracy;mean_train_f1_macro;mean_train_f1_micro;param_knn__n_neighbors;params;rank_test_accuracy;rank_test_f1_macro;rank_test_f1_micro;split0_test_accuracy;split0_test_f1_macro;split0_test_f1_micro;split0_train_accuracy;split0_train_f1_macro;split0_train_f1_micro;split1_test_accuracy;split1_test_f1_macro;split1_test_f1_micro;split1_train_accuracy;split1_train_f1_macro;split1_train_f1_micro;split2_test_accuracy;split2_test_f1_macro;split2_test_f1_micro;split2_train_accuracy;split2_train_f1_macro;split2_train_f1_micro;split3_test_accuracy;split3_test_f1_macro;split3_test_f1_micro;split3_train_accuracy;split3_train_f1_macro;split3_train_f1_micro;split4_test_accuracy;split4_test_f1_macro;split4_test_f1_micro;split4_train_accuracy;split4_train_f1_macro;split4_train_f1_micro;split5_test_accuracy;split5_test_f1_macro;split5_test_f1_micro;split5_train_accuracy;split5_train_f1_macro;split5_train_f1_micro;split6_test_accuracy;split6_test_f1_macro;split6_test_f1_micro;split6_train_accuracy;split6_train_f1_macro;split6_train_f1_micro;split7_test_accuracy;split7_test_f1_macro;split7_test_f1_micro;split7_train_accuracy;split7_train_f1_macro;split7_train_f1_micro;split8_test_accuracy;split8_test_f1_macro;split8_test_f1_micro;split8_train_accuracy;split8_train_f1_macro;split8_train_f1_micro;split9_test_accuracy;split9_test_f1_macro;split9_test_f1_micro;split9_train_accuracy;split9_train_f1_macro;split9_train_f1_micro;std_fit_time;std_score_time;std_test_accuracy;std_test_f1_macro;std_test_f1_micro;std_train_accuracy;std_train_f1_macro;std_train_f1_micro
0;0.9412418365478515;0.6573390960693359;0.6365;0.611156766992326;0.6365;0.781611111111111;0.7760417491564353;0.781611111111111;3;{'knn__n_neighbors': 3};1;1;1;0.635;0.6136646291445053;0.635;0.7816666666666666;0.7759712898688922;0.7816666666666666;0.63;0.5934065934065935;0.63;0.7705555555555555;0.7637731472286878;0.7705555555555557;0.655;0.6366030283080975;0.655;0.7933333333333333;0.7887193286474629;0.7933333333333333;0.645;0.6223303811271577;0.645;0.7916666666666666;0.787051131389452;0.7916666666666666;0.605;0.5614887180483472;0.605;0.7855555555555556;0.7804686621226924;0.7855555555555555;0.65;0.6321984026902059;0.65;0.7816666666666666;0.7762920839843916;0.7816666666666666;0.695;0.6787360105332455;0.695;0.7772222222222223;0.771158704830555;0.7772222222222223;0.625;0.5989197572127597;0.625;0.7661111111111111;0.7591973244147158;0.7661111111111111;0.615;0.5924955677277658;0.615;0.7966666666666666;0.7923338797125206;0.7966666666666665;0.61;0.5817245817245817;0.61;0.7716666666666666;0.7654519393649828;0.7716666666666666;0.031579962717151466;0.02382073555610016;0.025204166322257117;0.03151916539973881;0.025204166322257117;0.009805044053388487;0.010664275216146924;0.009805044053388452
1;0.9558617830276489;0.7083900690078735;0.595;0.5446081502519776;0.595;0.7002222222222221;0.6796606694828723;0.7002222222222223;5;{'knn__n_neighbors': 5};2;2;2;0.585;0.5392856151647193;0.585;0.7116666666666667;0.6943021814101563;0.7116666666666667;0.58;0.5133819951338199;0.58;0.6916666666666667;0.6690035216832513;0.6916666666666667;0.58;0.5414346544382574;0.58;0.7077777777777777;0.6900919773493502;0.7077777777777777;0.6;0.554367201426025;0.6;0.7088888888888889;0.6900288675405802;0.7088888888888889;0.58;0.5133819951338199;0.58;0.705;0.6865233577487405;0.705;0.605;0.5614887180483472;0.605;0.6972222222222222;0.6761648410088208;0.6972222222222222;0.625;0.5709259418175577;0.625;0.6888888888888889;0.6648575178975394;0.6888888888888889;0.59;0.5364088647670737;0.59;0.6877777777777778;0.6627887596253208;0.6877777777777778;0.615;0.5755120041897517;0.615;0.7133333333333334;0.6951155462184875;0.7133333333333335;0.59;0.539894512400404;0.59;0.69;0.6677301243464764;0.69;0.07276455776721084;0.0701382029416052;0.015000000000000013;0.020262920906577452;0.015000000000000013;0.009632763022974779;0.0122006698739359;0.009632763022974795
2;0.9928214073181152;0.643302059173584;0.5755;0.5037059793733395;0.5755;0.6394444444444445;0.5970562899905704;0.6394444444444445;7;{'knn__n_neighbors': 7};3;3;3;0.57;0.4974287050023376;0.57;0.6566666666666666;0.6204532178906971;0.6566666666666666;0.58;0.5091164095371669;0.58;0.6361111111111111;0.5921429927986773;0.6361111111111111;0.59;0.5327635327635327;0.59;0.6433333333333333;0.6041983200691592;0.6433333333333333;0.59;0.5249681381068243;0.59;0.6438888888888888;0.6027897667241929;0.6438888888888888;0.545;0.4608845048727746;0.545;0.6388888888888888;0.5967291633060763;0.6388888888888888;0.55;0.4692770373864842;0.55;0.6316666666666667;0.5861410304027166;0.6316666666666667;0.605;0.5362625106395468;0.605;0.6272222222222222;0.5800988113229391;0.6272222222222222;0.56;0.4761904761904763;0.56;0.6316666666666667;0.5836994654790439;0.6316666666666667;0.575;0.5137160673932321;0.575;0.6533333333333333;0.6164767489029022;0.6533333333333333;0.59;0.516452411841019;0.59;0.6316666666666667;0.5878333830092999;0.6316666666666667;0.07393504401605967;0.02463495830964321;0.01836436767220693;0.02542406832544292;0.01836436767220693;0.009309493362512604;0.013049387183471919;0.009309493362512604
3;1.0007794857025147;0.650980281829834;0.562;0.47275820544355296;0.562;0.6063333333333334;0.5449778429093592;0.6063333333333334;9;{'knn__n_neighbors': 9};4;4;4;0.565;0.4845818892739714;0.565;0.6227777777777778;0.5710638297872341;0.6227777777777778;0.55;0.45906959971150385;0.55;0.6027777777777777;0.5399916004682292;0.6027777777777777;0.585;0.5035736714614671;0.585;0.6116666666666667;0.5548638605848613;0.6116666666666667;0.57;0.48809523809523814;0.57;0.6077777777777778;0.5477039247397554;0.6077777777777778;0.54;0.4356520672310146;0.54;0.6155555555555555;0.558717872776407;0.6155555555555555;0.545;0.4557253506384761;0.545;0.5922222222222222;0.5215012951191105;0.5922222222222222;0.56;0.4543650793650793;0.56;0.5988888888888889;0.5334785499209542;0.5988888888888889;0.54;0.4295634920634921;0.54;0.5911111111111111;0.5192307692307693;0.5911111111111111;0.58;0.5133819951338199;0.58;0.6188888888888889;0.5645218627799502;0.6188888888888889;0.585;0.5035736714614671;0.585;0.6016666666666667;0.5387048636863221;0.6016666666666667;0.046073396307965406;0.0517533243455841;0.01691153452528773;0.028254122113689176;0.01691153452528773;0.010316593370169828;0.016634023664990297;0.010316593370169828
4;0.9850201368331909;0.6496298789978028;0.5505;0.4518770804167397;0.5505;0.5853333333333333;0.5080639056294872;0.5853333333333333;11;{'knn__n_neighbors': 11};5;5;5;0.555;0.46241430340370265;0.555;0.5988888888888889;0.5316547478157583;0.5988888888888889;0.55;0.45906959971150385;0.55;0.585;0.5072514223415269;0.585;0.575;0.49161159125571935;0.575;0.595;0.5259446155046674;0.595;0.56;0.47109027527347036;0.56;0.585;0.5067337121424726;0.585;0.525;0.4077122104803766;0.525;0.5916666666666667;0.5186638720308054;0.5916666666666667;0.545;0.444698703279939;0.545;0.5733333333333334;0.48655474669439913;0.5733333333333334;0.56;0.4601889338731443;0.56;0.5855555555555556;0.5081686203668297;0.5855555555555556;0.515;0.381199961723709;0.515;0.5661111111111111;0.4728812040416191;0.5661111111111111;0.57;0.4928647246137516;0.57;0.5955555555555555;0.5263596196997385;0.5955555555555555;0.55;0.4479205005520795;0.55;0.5772222222222222;0.4964264956570553;0.5772222222222222;0.04015366632621103;0.04370711112496456;0.01767059704707228;0.03297391690531777;0.01767059704707228;0.010006787819731949;0.017781103145508223;0.010006787819731949
5;0.9927876710891723;0.6464788675308227;0.5445;0.43679527184729594;0.5445;0.5726666666666667;0.4841383540217482;0.5726666666666667;13;{'knn__n_neighbors': 13};8;8;8;0.56;0.4761904761904763;0.56;0.59;0.5149587254850412;0.59;0.565;0.4634763035367396;0.565;0.5627777777777778;0.46943323439358053;0.5627777777777778;0.54;0.4231974921630094;0.54;0.5844444444444444;0.505813227938143;0.5844444444444444;0.555;0.45690312738367667;0.555;0.575;0.4888411840323934;0.575;0.525;0.4009899429364104;0.525;0.5772222222222222;0.4909545772280771;0.5772222222222222;0.535;0.4201814271018423;0.535;0.56;0.46144837746968376;0.56;0.555;0.45114242545712435;0.555;0.5666666666666667;0.4744494071459908;0.5666666666666667;0.515;0.381199961723709;0.515;0.555;0.4498271599473562;0.555;0.56;0.48107088100011786;0.56;0.59;0.5149587254850412;0.59;0.535;0.41360068097985436;0.535;0.5655555555555556;0.47069892109217426;0.5655555555555556;0.05870365407872754;0.031858902100867836;0.01603901493234544;0.03194702551930992;0.01603901493234544;0.011927766133617429;0.021496501877101247;0.011927766133617429
6;0.9443906068801879;0.6753416061401367;0.54;0.424189702000312;0.54;0.5598333333333334;0.4605674538342897;0.5598333333333334;15;{'knn__n_neighbors': 15};10;9;10;0.56;0.46576007770762506;0.56;0.5777777777777777;0.4935666678019461;0.5777777777777777;0.56;0.4601889338731443;0.56;0.5527777777777778;0.4497104048787027;0.5527777777777778;0.535;0.4067174890753086;0.535;0.5644444444444444;0.4693452098929214;0.5644444444444444;0.565;0.4691075514874142;0.565;0.56;0.4601889338731443;0.56;0.52;0.3839045051983057;0.52;0.5677777777777778;0.4728013058746289;0.5677777777777778;0.52;0.39117199391172;0.52;0.5466666666666666;0.43714735488380435;0.5466666666666666;0.555;0.4451198603447738;0.555;0.5594444444444444;0.4598237785769456;0.5594444444444444;0.51;0.3784880771182141;0.51;0.5405555555555556;0.4213435822043132;0.5405555555555556;0.545;0.444698703279939;0.545;0.5727777777777778;0.48729060755062914;0.5727777777777778;0.53;0.39673982800667434;0.53;0.5561111111111111;0.454456692805861;0.5561111111111111;0.043583191759395096;0.026563971628404116;0.01870828693386971;0.03429405655309116;0.01870828693386971;0.0108754168360585;0.02067055293724717;0.0108754168360585
7;0.9381365299224853;0.713932728767395;0.528;0.4010977531302624;0.528;0.5511666666666667;0.4423656558660866;0.5511666666666667;17;{'knn__n_neighbors': 17};13;12;13;0.555;0.45114242545712435;0.555;0.5661111111111111;0.4716783438856107;0.5661111111111111;0.545;0.4326506437233081;0.545;0.5444444444444444;0.43090333684970294;0.5444444444444444;0.515;0.36582655029256966;0.515;0.5566666666666666;0.4528716998610467;0.5566666666666666;0.53;0.4038559107052258;0.53;0.55;0.44196428571428575;0.55;0.52;0.3839045051983057;0.52;0.5588888888888889;0.4562628686737106;0.5588888888888889;0.515;0.3736884584342211;0.515;0.5372222222222223;0.4141538461538462;0.5372222222222223;0.54;0.4231974921630094;0.54;0.5516666666666666;0.44301613320679833;0.5516666666666666;0.505;0.36077481840193704;0.505;0.5327777777777778;0.4046661619687153;0.5327777777777778;0.53;0.4293346284604177;0.53;0.5661111111111111;0.4716783438856107;0.5661111111111111;0.525;0.38660209846650523;0.525;0.5477777777777778;0.43646153846153846;0.5477777777777778;0.04340376576233176;0.044933257023458587;0.014525839046333965;0.02986700384881584;0.014525839046333965;0.010618089619159074;0.02099038462675589;0.010618089619159074
8;0.9644674777984619;0.7029115438461304;0.528;0.39773541555789604;0.528;0.5432222222222223;0.4270635227583364;0.5432222222222223;19;{'knn__n_neighbors': 19};13;14;13;0.565;0.4691075514874142;0.565;0.5616666666666666;0.4631758354283537;0.5616666666666666;0.54;0.4231974921630094;0.54;0.5322222222222223;0.40590333581592253;0.5322222222222223;0.51;0.3551783129359126;0.51;0.5494444444444444;0.4388835481563454;0.5494444444444444;0.55;0.44196428571428575;0.55;0.5444444444444444;0.43160725755893037;0.5444444444444444;0.52;0.3839045051983057;0.52;0.5472222222222223;0.43611601941728917;0.5472222222222223;0.505;0.3527508090614887;0.505;0.5344444444444445;0.40795423145519855;0.5344444444444445;0.525;0.3939587253995088;0.525;0.5411111111111111;0.4216757245390287;0.5411111111111111;0.51;0.3633056133056133;0.51;0.5261111111111111;0.39134009437122386;0.5261111111111111;0.545;0.4388085473775092;0.545;0.5522222222222222;0.4480451790314996;0.5522222222222222;0.51;0.3551783129359126;0.51;0.5433333333333333;0.4259340018095727;0.5433333333333333;0.06472735841657364;0.05260578933618421;0.019646882704388496;0.04052442693835388;0.019646882704388496;0.009862636814679497;0.02026331980932846;0.009862636814679497
9;0.959393572807312;0.7572361707687378;0.526;0.3954079807172153;0.526;0.5379444444444444;0.41591009584829053;0.5379444444444444;21;{'knn__n_neighbors': 21};15;15;15;0.55;0.44196428571428575;0.55;0.5566666666666666;0.45352363879297364;0.5566666666666666;0.545;0.4326506437233081;0.545;0.5333333333333333;0.40654123439423245;0.5333333333333333;0.515;0.3736884584342211;0.515;0.5411111111111111;0.42240993510852537;0.5411111111111111;0.54;0.4295634920634921;0.54;0.54;0.4217437390490587;0.54;0.52;0.3762993762993764;0.52;0.5383333333333333;0.41631212122039857;0.5383333333333333;0.505;0.3527508090614887;0.505;0.5338888888888889;0.4068601093982155;0.5338888888888889;0.53;0.4038559107052258;0.53;0.5377777777777778;0.41447943562323375;0.5377777777777778;0.505;0.34434915063412697;0.505;0.5188888888888888;0.3765797472404415;0.5188888888888888;0.54;0.4356520672310146;0.54;0.5461111111111111;0.4333365058679689;0.5461111111111111;0.51;0.3633056133056133;0.51;0.5333333333333333;0.4073144917878563;0.5333333333333333;0.08413723587451316;0.0778609677575527;0.016248076809271934;0.03564566633695042;0.016248076809271934;0.009239775797611302;0.01894039240876008;0.009239775797611302
