;mean_fit_time;mean_score_time;mean_test_accuracy;mean_test_f1_macro;mean_test_f1_micro;mean_train_accuracy;mean_train_f1_macro;mean_train_f1_micro;param_dtc__criterion;param_dtc__splitter;params;rank_test_accuracy;rank_test_f1_macro;rank_test_f1_micro;split0_test_accuracy;split0_test_f1_macro;split0_test_f1_micro;split0_train_accuracy;split0_train_f1_macro;split0_train_f1_micro;split1_test_accuracy;split1_test_f1_macro;split1_test_f1_micro;split1_train_accuracy;split1_train_f1_macro;split1_train_f1_micro;split2_test_accuracy;split2_test_f1_macro;split2_test_f1_micro;split2_train_accuracy;split2_train_f1_macro;split2_train_f1_micro;split3_test_accuracy;split3_test_f1_macro;split3_test_f1_micro;split3_train_accuracy;split3_train_f1_macro;split3_train_f1_micro;split4_test_accuracy;split4_test_f1_macro;split4_test_f1_micro;split4_train_accuracy;split4_train_f1_macro;split4_train_f1_micro;split5_test_accuracy;split5_test_f1_macro;split5_test_f1_micro;split5_train_accuracy;split5_train_f1_macro;split5_train_f1_micro;split6_test_accuracy;split6_test_f1_macro;split6_test_f1_micro;split6_train_accuracy;split6_train_f1_macro;split6_train_f1_micro;split7_test_accuracy;split7_test_f1_macro;split7_test_f1_micro;split7_train_accuracy;split7_train_f1_macro;split7_train_f1_micro;split8_test_accuracy;split8_test_f1_macro;split8_test_f1_micro;split8_train_accuracy;split8_train_f1_macro;split8_train_f1_micro;split9_test_accuracy;split9_test_f1_macro;split9_test_f1_micro;split9_train_accuracy;split9_train_f1_macro;split9_train_f1_micro;std_fit_time;std_score_time;std_test_accuracy;std_test_f1_macro;std_test_f1_micro;std_train_accuracy;std_train_f1_macro;std_train_f1_micro
0;2.1994170188903808;0.19729750156402587;0.8505990133897111;0.836162275911576;0.8505990133897111;1.0;1.0;1.0;gini;best;"{'dtc__criterion': 'gini'; 'dtc__splitter': 'best'}";1;1;1;0.8368495077355836;0.8233171862964924;0.8368495077355836;1.0;1.0;1.0;0.8410689170182841;0.8302198735720218;0.8410689170182842;1.0;1.0;1.0;0.8663853727144867;0.8522526785525286;0.8663853727144867;1.0;1.0;1.0;0.852112676056338;0.8338468656507543;0.852112676056338;1.0;1.0;1.0;0.8533145275035261;0.8416327173498845;0.8533145275035261;1.0;1.0;1.0;0.8744710860366713;0.8573887117464419;0.8744710860366713;1.0;1.0;1.0;0.844851904090268;0.8344655038172274;0.844851904090268;1.0;1.0;1.0;0.8377997179125529;0.8208316868512266;0.8377997179125529;1.0;1.0;1.0;0.8587570621468926;0.8408728626063425;0.8587570621468926;1.0;1.0;1.0;0.8403954802259888;0.8267989842156982;0.8403954802259888;1.0;1.0;1.0;0.042515571205380624;0.0054901257768551195;0.012150525680103054;0.011371283607210915;0.012150525680103046;0.0;0.0;0.0
1;1.8230480194091796;0.20022571086883545;0.8441155743481324;0.8287744036019095;0.8441155743481324;1.0;1.0;1.0;gini;random;"{'dtc__criterion': 'gini'; 'dtc__splitter': 'random'}";2;2;2;0.8410689170182841;0.8278661448440455;0.8410689170182842;1.0;1.0;1.0;0.8396624472573839;0.8253201643753649;0.8396624472573839;1.0;1.0;1.0;0.8551336146272855;0.8377066065056005;0.8551336146272855;1.0;1.0;1.0;0.8408450704225352;0.8289238695998801;0.8408450704225351;1.0;1.0;1.0;0.8377997179125529;0.8239390964027189;0.8377997179125529;1.0;1.0;1.0;0.8688293370944993;0.8534355989373161;0.8688293370944993;1.0;1.0;1.0;0.847672778561354;0.8278425319674865;0.8476727785613541;1.0;1.0;1.0;0.843441466854725;0.8256964008040023;0.843441466854725;1.0;1.0;1.0;0.8418079096045198;0.8302608670780369;0.8418079096045198;1.0;1.0;1.0;0.8248587570621468;0.8067106311254648;0.8248587570621468;1.0;1.0;1.0;0.07309774799065821;0.003176351814004755;0.010955305366003474;0.011055268398259611;0.010955305366003478;0.0;0.0;0.0
2;5.5875426769256595;0.19633116722106933;0.842847075405215;0.8251017585682717;0.842847075405215;1.0;1.0;1.0;entropy;best;"{'dtc__criterion': 'entropy'; 'dtc__splitter': 'best'}";3;4;3;0.849507735583685;0.8363797524438411;0.849507735583685;1.0;1.0;1.0;0.829817158931083;0.8138775803053785;0.829817158931083;1.0;1.0;1.0;0.8621659634317862;0.8485075902122841;0.8621659634317862;1.0;1.0;1.0;0.8225352112676056;0.8025470277949303;0.8225352112676056;1.0;1.0;1.0;0.8645980253878702;0.8501549044119033;0.8645980253878702;1.0;1.0;1.0;0.8660084626234132;0.8472333214759435;0.8660084626234132;1.0;1.0;1.0;0.8138222849083215;0.7940377383774083;0.8138222849083215;1.0;1.0;1.0;0.8349788434414669;0.8079909300637418;0.8349788434414669;1.0;1.0;1.0;0.844632768361582;0.824638687025365;0.844632768361582;1.0;1.0;1.0;0.8403954802259888;0.8256157607184195;0.8403954802259888;1.0;1.0;1.0;0.09791486448610842;0.0063329678321317915;0.01709736508737496;0.019198437108216983;0.01709736508737496;0.0;0.0;0.0
3;2.306884932518005;0.19762585163116456;0.8414376321353065;0.8252654154275035;0.8414376321353065;1.0;1.0;1.0;entropy;random;"{'dtc__criterion': 'entropy'; 'dtc__splitter': 'random'}";4;3;4;0.8649789029535865;0.8500360610185552;0.8649789029535865;1.0;1.0;1.0;0.8438818565400844;0.8344604108614453;0.8438818565400844;1.0;1.0;1.0;0.8424753867791842;0.8237509116780817;0.8424753867791842;1.0;1.0;1.0;0.819718309859155;0.7942389537219955;0.819718309859155;1.0;1.0;1.0;0.8603667136812412;0.8487416763171612;0.8603667136812411;1.0;1.0;1.0;0.849083215796897;0.8323728329253627;0.849083215796897;1.0;1.0;1.0;0.8349788434414669;0.8231616524042495;0.8349788434414669;1.0;1.0;1.0;0.8265162200282088;0.8040994550506825;0.8265162200282088;1.0;1.0;1.0;0.806497175141243;0.7849558464866686;0.806497175141243;1.0;1.0;1.0;0.865819209039548;0.8567761639190212;0.865819209039548;1.0;1.0;1.0;0.09104428963858734;0.009137469963499215;0.018779241487856445;0.023088552017280474;0.018779241487856434;0.0;0.0;0.0
